conf_id,receiver_id,sender_id,send_time,recv_time,type
387733739,2040550700,1351147258,1737332239397492384,1737332263884222067,audio
387733739,2040550700,1351147258,1737332240421492384,1737332263925183988,audio
387733739,2040550700,1351147258,1737332241445492384,1737332263931262358,audio
387733739,2040550700,1351147258,1737332242469492384,1737332263954786671,audio
387733739,2040550700,1351147258,1737332243493492384,1737332263978222470,audio
387733739,2040550700,1351147258,1737332244517492384,1737332264001643168,audio
387733739,2040550700,1351147258,1737332245541492384,1737332264024944150,audio
387733739,2040550700,1351147258,1737332246565492384,1737332264048512466,audio
387733739,2040550700,1351147258,1737332247589492384,1737332264071919348,audio
387733739,2040550700,1351147258,1737332248613492384,1737332264095255560,audio
387733739,2040550700,1351147258,1737332249637492384,1737332264118684522,audio
387733739,2040550700,1351147258,1737332250661492384,1737332264140191549,audio
387733739,2040550700,1351147258,1737332251685492384,1737332264141949615,audio
387733739,2040550700,1351147258,1737332252709492384,1737332264165555048,audio
387733739,2040550700,1351147258,1737332253733492384,1737332264190275777,audio
387733739,2040550700,1351147258,1737332254757492384,1737332264220622576,audio
387733739,2040550700,1351147258,1737332255781492384,1737332264237058474,audio
387733739,2040550700,1351147258,1737332256805492384,1737332264259793163,audio
387733739,2040550700,1351147258,1737332257829492384,1737332264284698075,audio
387733739,2040550700,1351147258,1737332258853492384,1737332264309909136,audio
387733739,2040550700,1351147258,1737332259877492384,1737332264332104077,audio
387733739,2040550700,1351147258,1737332260901492384,1737332264373059424,audio
387733739,2040550700,1351147258,1737332261925492384,1737332264396631113,audio
387733739,2040550700,1351147258,1737332262949492384,1737332264418039036,audio
387733739,2040550700,1351147258,1737332263973492384,1737332264420154769,audio
387733739,2040550700,1351147258,1737332264997492384,1737332264443389287,audio
387733739,2040550700,1351147258,1737332266021492384,1737332264466749935,audio
387733739,2040550700,1351147258,1737332267045492384,1737332264492373827,audio
387733739,2040550700,1351147258,1737332268069492384,1737332264513943956,audio
387733739,2040550700,1351147258,1737332269093492384,1737332264536446419,audio
387733739,2040550700,1351147258,1737332270117492384,1737332264559881936,audio
387733739,2040550700,1351147258,1737332271141492384,1737332264583464695,audio
387733739,2040550700,1351147258,1737332272165492384,1737332264606616431,audio
387733739,2040550700,1351147258,1737332273189492384,1737332264629954098,audio
387733739,2040550700,1351147258,1737332274213492384,1737332264653462528,audio
387733739,2040550700,1351147258,1737332275237492384,1737332264677011115,audio
387733739,2040550700,1351147258,1737332276261492384,1737332264698875838,audio
387733739,2040550700,1351147258,1737332277285492384,1737332264700773974,audio
387733739,2040550700,1351147258,1737332278309492384,1737332264724551457,audio
387733739,2040550700,1351147258,1737332279333492384,1737332264747919296,audio
387733739,2040550700,1351147258,1737332280357492384,1737332264771573325,audio
387733739,2040550700,1351147258,1737332281381492384,1737332264794951380,audio
387733739,2040550700,1351147258,1737332282405492384,1737332264818373448,audio
387733739,2040550700,1351147258,1737332283429492384,1737332264841843181,audio
387733739,2040550700,1351147258,1737332284453492384,1737332264880066976,audio
387733739,2040550700,1351147258,1737332285477492384,1737332264903708255,audio
387733739,2040550700,1351147258,1737332286501492384,1737332264927242881,audio
387733739,2040550700,1351147258,1737332287525492384,1737332264950633121,audio
387733739,2040550700,1351147258,1737332288549492384,1737332264971563337,audio
387733739,2040550700,1351147258,1737332289573492384,1737332264973808520,audio
387733739,2040550700,1351147258,1737332290597492384,1737332264996750808,audio
